,AssessorID,FLD_ZONE,ZONE_SUBTY
179,7432-012-024,A,
180,7432-011-016,A,
181,7432-008-040,A,
182,7432-008-044,A,
183,7432-011-001,A,
184,7432-002-008,A,
185,7432-021-015,A,
186,7429-041-001,A,
187,7432-003-022,A,
188,7432-020-007,A,
189,7432-016-014,A,
190,7432-017-027,A,
191,7432-013-058,A,
192,7432-014-018,A,
193,7429-029-002,A,
194,7432-005-061,A,
195,7429-041-033,A,
196,7432-020-026,A,
197,7432-017-011,A,
198,7432-003-024,A,
199,7432-010-003,A,
200,7432-005-056,A,
201,7432-003-037,A,
202,7432-019-011,A,
203,7432-011-053,A,
204,7432-009-031,A,
205,7432-002-050,A,
206,7432-012-011,A,
207,7432-009-029,A,
208,7432-003-018,A,
209,7432-001-024,A,
210,7432-019-043,A,
211,7432-023-003,A,
212,7432-004-030,A,
213,7432-019-049,A,
214,7429-029-034,A,
215,7432-004-019,A,
216,7432-020-005,A,
217,7432-022-024,A,
218,7429-041-034,A,
219,7432-016-020,A,
220,7432-001-053,A,
221,7432-005-048,A,
222,7432-008-042,A,
223,7432-021-007,A,
224,7429-041-026,A,
225,7432-021-008,A,
226,7432-002-031,A,
227,7432-003-038,A,
228,7432-012-023,A,
229,7432-012-019,A,
230,7432-005-041,A,
231,7432-018-027,A,
232,7432-006-071,A,
233,7432-010-028,A,
234,7432-005-064,A,
235,7432-008-045,A,
236,7432-019-009,A,
237,7432-022-023,A,
238,7432-017-016,A,
239,7432-002-010,A,
240,7432-012-038,A,
241,7429-041-051,A,
242,7432-013-016,A,
243,7432-017-022,A,
244,7432-017-005,A,
245,7432-013-057,A,
246,7432-003-040,A,
247,7432-004-004,A,
248,7432-004-001,A,
249,7429-041-027,A,
250,7432-016-037,A,
251,7432-022-006,A,
252,7432-016-038,A,
253,7432-014-019,A,
254,7432-024-037,A,
255,7432-019-020,A,
256,7432-024-031,A,
257,7432-023-013,A,
258,7432-013-054,A,
259,7432-009-035,A,
260,7432-023-011,A,
261,7432-019-017,A,
262,7429-029-020,A,
263,7432-017-028,A,
264,7432-009-008,A,
265,7432-019-030,A,
266,7432-017-021,A,
267,7432-013-002,A,
268,7432-010-049,A,
269,7432-010-027,A,
270,7432-002-038,A,
271,7432-008-036,A,
272,7432-002-057,A,
273,7432-020-019,A,
274,7432-003-042,A,
275,7432-022-010,A,
276,7429-029-007,A,
277,7432-012-029,A,
278,7432-021-011,A,
279,7432-012-039,A,
280,7436-004-913,A,
281,7436-005-905,A,
282,7436-004-042,A,
283,7436-002-007,A,
284,7436-006-021,A,
285,7436-004-919,A,
286,7436-004-916,A,
287,7436-001-028,A,
288,7436-005-910,A,
289,7436-006-905,A,
290,7436-003-902,A,
291,7436-004-008,A,
292,7436-006-906,A,
293,7436-003-905,A,
294,7436-005-919,A,
