DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT
06037C,1.1.1.0,06037C_81,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_LOMC48
06037C,1.1.1.0,06037C_83,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_86,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_LOMC48
06037C,1.1.1.0,06037C_90,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_LOMC48
06037C,1.1.1.0,06037C_92,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_96,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_98,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_99,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_102,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_104,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_109,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_FIRM1
06037C,1.1.1.0,06037C_111,NP,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,F,-9999.000000000000000,,-9999.000000000000000,,-9999.000000000000000,,,,-9999.000000000000000,-9999.000000000000000,,06037C_LOMC48
