Unnamed: 0,city,street_address,zip,lat,lon,name,rating,hours,place_id,elevation,closest_station_name,closest_station_lat,closest_station_lon,closest_station_dist
0,Alhambra,1210 N Atlantic Blvd,91801,34.1059937,-118.1343897,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ48hKusLEwoARrSF8DOjZKgY,171.8063812255859,Alhambra Fire Department Fire Station 71,34.0972169,-118.1300714,1.0538230092685312
1,Arcadia,420 N Santa Anita Ave,91006,34.1453078,-118.03124,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJq5HEVIOMUocR1aaT_hDXIiQ,155.3397979736328,Arcadia Fire Dept. Station 107,34.157589,-118.0348496,1.4054236816911778
2,Azusa,324 S Azusa Ave,91702,34.1176435,-117.9073473,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJn_xtKuQnw4AR1IUB21Ymr6I,160.4187469482422,Bradbury Fire Department,34.1319439,-117.9103911,1.6146290880890062
3,Azusa,988 E Alosta Ave,91702,34.12835,-117.886278,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJSSkBJKgnw4ARVYWuSipUxk0,192.8702087402344,Los Angeles County Fire Dept. Station 151,34.1378016,-117.8677589,2.0024656962756904
4,Baldwin Park,13850 Francisquito Ave,91706,34.0676782,-117.9734536,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ3_hJn__AwoARsO1trxoBg5I,102.0323638916016,Industry Fire Department,34.0541034,-117.9893301,2.101765325550409
5,Bellflower,17325 Bellflower Blvd,90706,33.8750268,-118.1253889,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJT4vKfmgz3YAR8ZnNlaVTUQU,19.36841201782227,Los Angeles County Fire Dept. Station 23,33.8817798,-118.1301286,0.8690823971936906
6,Burbank,761 N 1st St,91502,34.184954,-118.316081,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJFZo6iUSVwoARNU6w60iDGqY,183.4070587158203,Burbank Fire Department HQ,34.1835268,-118.3090379,0.6670098778378953
7,Camarillo,1316 Ventura Blvd,93010,34.2172777,-119.0530387,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ_f1wYeRJ6IAR4DQaps275_I,38.43547821044922,Ventura County Fire Station 54,34.221818,-119.0407839,1.2347122674076634
8,Canoga Park,6841 Topanga Canyon Blvd,91303,34.1949248,-118.6063827,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJDWLiTDycwoARzueB5sxtmS8,243.597900390625,Los Angeles Fire Dept. Station 72,34.194896400648524, -118.58887098959562,1.6106048716008972
9,Cerritos,10900 Alondra Blvd,90703,33.8870852,-118.1016148,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJja9CmFot3YARks5NaaQebhY,22.20962905883789,Los Angeles County Fire Dept. Station 115,33.8878001,-118.0921479,0.8774681642235524
